INCOME,SEX,MARITAL.STATUS,AGE,EDUCATION,OCCUPATION,AREA,DUAL.INCOMES,HOUSEHOLD.SIZE,UNDER18,HOUSEHOLDER,HOME.TYPE,ETHNIC.CLASS,LANGUAGE
-10.000),F,Married,18-24,Graduated High Scool,Homemaker,10+ years,Yes,Three,One,Rent,Other,White,English
-10.000),F,Divorced,35-44,1 to 3 years of college,Sales Worker,10+ years,Not Married,Three,,Own,House,Black,English
-10.000),F,Single,14-17,Grade 8 or less,"Student, HS or College",,Not Married,,,Family,Apartment,White,English
[20.000-25.000),F,Divorced,35-44,Graduated High Scool,Professional/Managerial,,Not Married,Two,,Rent,House,White,English
[30.000-40.000),F,Married,45-54,Graduated High Scool,Professional/Managerial,10+ years,Yes,Two,,Own,House,Hispanic,English
[40.000-50.000),M,Married,55-64,1 to 3 years of college,Sales Worker,10+ years,Yes,Two,,Own,House,White,
[75.000-,M,Married,25-34,Grad Study,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
[40.000-50.000),M,Married,65+,College graduate,Retired,10+ years,No,Two,,Own,House,White,English
[20.000-25.000),M,Divorced,35-44,Graduated High Scool,Retired,10+ years,Not Married,One,,,Apartment,White,English
[25.000-30.000),F,Married,18-24,1 to 3 years of college,Sales Worker,10+ years,Yes,Two,,Rent,Apartment,White,English
-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",10+ years,Not Married,,,Family,Apartment,Black,English
[40.000-50.000),F,Divorced,45-54,Graduated High Scool,Professional/Managerial,1-3 years,Not Married,Two,,Own,Condominium,White,English
[10.000-15.000),F,Divorced,25-34,Graduated High Scool,Factory Worker/Laborer/Driver,10+ years,Not Married,One,,Rent,Other,White,English
-10.000),F,Married,18-24,Graduated High Scool,Homemaker,10+ years,Yes,Two,,Rent,Apartment,,Spanish
[10.000-15.000),M,Married,45-54,College graduate,Sales Worker,4-6 years,Yes,Three,Two,Rent,Apartment,Asian,Spanish
[15.000-20.000),F,Widowed,45-54,Graduated High Scool,"Student, HS or College",,Not Married,Three,One,Own,Condominium,White,English
[20.000-25.000),M,Married,25-34,Graduated High Scool,Homemaker,,Yes,Four,Two,Family,House,Hispanic,Spanish
[20.000-25.000),F,Single,18-24,Graduated High Scool,Unemployed,10+ years,Not Married,Three,One,Family,House,Black,English
-10.000),F,Single,18-24,Graduated High Scool,Sales Worker,10+ years,Not Married,Two,,Own,House,Hispanic,English
[75.000-,F,Married,55-64,College graduate,Professional/Managerial,10+ years,Yes,Two,,Rent,House,Hispanic,Spanish
[40.000-50.000),M,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Four,One,Family,House,White,English
[30.000-40.000),F,Single,18-24,Graduated High Scool,Sales Worker,10+ years,Not Married,Two,,Family,Apartment,Black,English
[25.000-30.000),F,Married,35-44,Graduated High Scool,Professional/Managerial,10+ years,Yes,Five,Two,Own,House,Hispanic,Spanish
[20.000-25.000),F,Widowed,65+,Graduated High Scool,Clerical/Service Worker,10+ years,Not Married,One,,Own,House,White,English
[30.000-40.000),F,Single,18-24,1 to 3 years of college,"Student, HS or College",,Not Married,Four,,Family,House,White,English
[20.000-25.000),F,Married,55-64,College graduate,Military,10+ years,No,Two,,Own,House,White,English
[30.000-40.000),M,Married,25-34,1 to 3 years of college,Sales Worker,7-10 years,Yes,Three,One,Own,House,White,English
[30.000-40.000),F,Married,18-24,1 to 3 years of college,Clerical/Service Worker,1-3 years,Yes,Two,,Own,Condominium,White,English
[75.000-,F,Married,35-44,1 to 3 years of college,Clerical/Service Worker,10+ years,Yes,Five,Two,Own,House,White,English
-10.000),M,Single,18-24,1 to 3 years of college,Sales Worker,10+ years,Not Married,Five,Two,Family,House,Black,English
-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",,Not Married,Four,Three,Family,House,White,English
[40.000-50.000),F,Married,25-34,1 to 3 years of college,"Student, HS or College",10+ years,No,Four,Two,Own,,Hispanic,English
[20.000-25.000),F,Married,45-54,Grad Study,Professional/Managerial,10+ years,Yes,Four,One,Own,House,White,English
[30.000-40.000),M,Married,45-54,Grad Study,Professional/Managerial,10+ years,Yes,Five,Three,Own,House,White,English
[40.000-50.000),F,Married,35-44,Grad Study,Professional/Managerial,10+ years,No,Four,Two,Own,House,White,English
[10.000-15.000),F,Widowed,65+,1 to 3 years of college,Retired,,Not Married,,,Rent,Apartment,Hispanic,English
[75.000-,M,Married,55-64,Grad Study,Professional/Managerial,10+ years,No,Four,,Own,House,White,English
-10.000),M,Single,14-17,Grade 8 or less,"Student, HS or College",,Not Married,Four,Two,Family,House,American Indian,English
[75.000-,F,Married,35-44,1 to 3 years of college,Homemaker,4-6 years,No,Three,One,Own,House,White,English
[10.000-15.000),M,Single,25-34,Graduated High Scool,Military,10+ years,Not Married,One,,Rent,Apartment,American Indian,English
[75.000-,M,Single,18-24,Grad Study,Sales Worker,10+ years,Not Married,Six,Four,Rent,House,Hispanic,English
[50.000-75.000),M,Married,45-54,1 to 3 years of college,Professional/Managerial,,No,Three,,Own,House,White,English
[50.000-75.000),F,Married,25-34,College graduate,Professional/Managerial,10+ years,Yes,Two,,Rent,Apartment,White,English
[40.000-50.000),M,Single,35-44,1 to 3 years of college,Professional/Managerial,4-6 years,Not Married,One,,Rent,Apartment,Asian,English
-10.000),M,Single,18-24,Graduated High Scool,Military,1-3 years,Not Married,One,,,,White,English
[25.000-30.000),F,Divorced,45-54,Grad Study,Professional/Managerial,10+ years,Not Married,Two,,Own,Condominium,Hispanic,English
[75.000-,F,Married,35-44,1 to 3 years of college,Sales Worker,10+ years,Yes,Two,,Own,Condominium,White,English
-10.000),F,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Four,,Rent,Apartment,White,English
[10.000-15.000),M,Single,18-24,1 to 3 years of college,"Student, HS or College",,Not Married,Two,,Family,House,Hispanic,English
[75.000-,F,Married,45-54,Graduated High Scool,Professional/Managerial,10+ years,Yes,Two,,Own,House,White,English
[50.000-75.000),F,Married,35-44,College graduate,Professional/Managerial,,Yes,Three,One,Own,House,White,English
-10.000),F,Single,18-24,1 to 3 years of college,"Student, HS or College",10+ years,Not Married,Three,One,Family,House,Black,English
[75.000-,M,Married,35-44,Grad Study,Professional/Managerial,1-3 years,Yes,Two,,Own,House,White,English
[40.000-50.000),M,Married,35-44,College graduate,Professional/Managerial,10+ years,Yes,Five,Two,Rent,Apartment,Black,English
-10.000),F,Married,25-34,Grades 9 to 11,Homemaker,7-10 years,No,Three,One,Rent,Apartment,Hispanic,Spanish
[50.000-75.000),F,Married,45-54,Grad Study,Professional/Managerial,4-6 years,Yes,Four,Two,Rent,House,White,English
[50.000-75.000),F,Divorced,35-44,Grad Study,Professional/Managerial,-1 year,Not Married,One,,Own,Condominium,White,English
[10.000-15.000),M,Single,25-34,Grades 9 to 11,Clerical/Service Worker,7-10 years,Not Married,Two,,Rent,Apartment,White,English
-10.000),M,Single,14-17,Grade 8 or less,"Student, HS or College",10+ years,Not Married,Four,Two,Family,House,White,English
[75.000-,F,Married,55-64,College graduate,Professional/Managerial,,Yes,Two,,Own,House,White,English
-10.000),F,Single,14-17,Grades 9 to 11,"Student, HS or College",,Not Married,Three,One,Family,House,Hispanic,English
[20.000-25.000),M,Married,35-44,1 to 3 years of college,Professional/Managerial,10+ years,No,Three,,Rent,House,,Other
[40.000-50.000),F,Married,35-44,Grades 9 to 11,Factory Worker/Laborer/Driver,10+ years,Yes,Six,Four,Own,House,Hispanic,Spanish
[50.000-75.000),F,Married,45-54,1 to 3 years of college,Homemaker,10+ years,Yes,Five,One,Own,House,White,English
[50.000-75.000),M,Together,18-24,College graduate,Military,10+ years,No,Two,,Rent,Apartment,Black,Spanish
[40.000-50.000),M,Married,25-34,1 to 3 years of college,Professional/Managerial,4-6 years,No,Three,One,Rent,Condominium,White,English
[25.000-30.000),F,Single,18-24,1 to 3 years of college,Professional/Managerial,1-3 years,Not Married,,,Rent,Apartment,Pacific Islander,English
[50.000-75.000),F,Single,35-44,Grad Study,Professional/Managerial,1-3 years,Not Married,One,,Rent,Condominium,White,English
